name,is_enabled
symantec_endpoint_security,false
synthetics,false
synthetics_dashboards,false
sysdig,false
syslog_router,false
sysmon_linux,false
system,true
system_audit,false
system_otel,false
tanium,false
tcp,false
teleport,false
tenable_io,false
tenable_ot_security,false
tenable_sc,false
tencent_cloud,false
tetragon,false
threat_map,false
thycotic_ss,false
ti_abusech,false
ti_anomali,false
ti_anyrun,false
ti_cif3,false
ti_crowdstrike,false
ti_custom,false
ti_cybersixgill,false
ti_cyware_intel_exchange,false
ti_domaintools,false
ti_eclecticiq,false
ti_eset,false
ti_flashpoint,false
ti_google_threat_intelligence,false
ti_greynoise,false
ti_maltiverse,false
ti_mandiant_advantage,false
ti_misp,false
ti_opencti,false
ti_otx,false
ti_rapid7_threat_command,false
ti_recordedfuture,false
ti_strider,false
ti_threatconnect,false
ti_threatq,false
ti_util,false
tines,false
tomcat,false
traefik,false
traefik_otel,false
trellix_edr_cloud,false
trellix_epo_cloud,false
trend_micro_vision_one,false
trendmicro,false
tychon,false
udp,false
unifiedlogs,false
universal_profiling_agent,false
universal_profiling_collector,false
universal_profiling_symbolizer,false
varonis,false
vectra_detect,false
vectra_rux,false
verifier_otel,false
vsphere,false
vsphere_otel,false
watchguard_firebox,false
websocket,false
websphere_application_server,false
windows,false
windows_etw,false
winlog,false
withsecure_elements,false
wiz,false
wmi,false
zeek,false
zerofox,false
zeronetworks,false
zookeeper,false
zookeeper_otel,false
zoom,false
zscaler_zia,false
zscaler_zpa,false
